,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Pantothenic acid,Phosphorus,Zinc,Selenium,Copper,Manganese,Potassium,Choline,Protein,Fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Added Sugars
#cakeweek,56.721518987341774,74.04565217391306,47.46938775510204,0.7796000000000001,0.054761904761904755,0.517777777777778,4.743589743589744,0.05378260869565213,0.08149999999999999,0.6236521739130434,0.0523333333333333,6.157894736842105,0.1407894736842105,0.10587499999999998,45.61224489795919,0.6702000000000002,6.534883720930231,0.06879999999999994,0.06377142857142853,95.44,26.337499999999995,3.5732000000000004,1.487671052631578,0.0,18.20408163265306,0.0,102.78,0.0,0.0
#wasteless,56.721518987341774,74.04565217391306,47.46938775510204,0.7796000000000001,0.054761904761904755,0.517777777777778,4.743589743589744,0.05378260869565213,0.08149999999999999,0.6236521739130434,0.0523333333333333,6.157894736842105,0.1407894736842105,0.10587499999999998,45.61224489795919,0.6702000000000002,6.534883720930231,0.06879999999999994,0.06377142857142853,95.44,26.337499999999995,3.5732000000000004,1.487671052631578,0.0,18.20408163265306,0.0,102.78,0.0,0.0
22-minute meals,119.86440677966101,9.144897959183673,136.48,7.968000000000001,0.5233333333333334,0.816551724137931,3.957142857142856,0.54238,0.45421999999999996,6.110760000000002,0.51746,145.90845070422534,1.0883146067415732,1.0159166666666668,185.26,2.8402000000000003,12.44090909090909,0.22110000000000007,1.3051818181818182,246.26,23.245,9.7936,1.6003961038961037,0.0,15.25531914893617,0.0,303.8,0.0,0.0
3-ingredient recipes,108.3859649122807,12.036734693877555,69.6148,0.9671800000000002,0.12195121951219516,0.4976344086021505,35.47391304347826,0.09663799999999999,0.12965306122448977,1.4404700000000004,0.10590200000000005,26.475172413793103,0.10129032258064516,0.27819999999999995,90.71,0.6766799999999997,6.577083333333334,0.11404799999999998,0.44857272727272723,232.54,21.55365853658536,4.8743799999999995,2.7732795031055906,0.0,18.583333333333332,0.0,205.0,0.0,0.0
30 days of groceries,147.25,2.975,37.27777777777778,1.867222222222222,9.881249999999998,0.8529411764705882,3.744444444444445,0.06281818181818183,0.17700000000000002,3.524545454545454,0.22511111111111115,17.041666666666668,0.8856250000000001,0.6488571428571428,137.88888888888889,3.56,11.477777777777778,0.09811111111111111,0.151,259.04,49.7625,6.505,2.882127272727272,0.0,33.026315789473685,0.0,1008.36,0.0,0.0
advance prep required,779.22,66.94318181818183,489.6595744680851,5.119574468085106,385.376,1.2938235294117648,29.428205128205136,0.45984615384615396,0.5377692307692308,6.104358974358974,0.5574358974358975,70.90654205607477,1.9339726027397257,8.481692307692308,399.6666666666667,11.067435897435896,58.13157894736842,0.5879473684210526,1.6561818181818182,617.5909090909091,18.01176470588236,18.464000000000002,3.955417808219177,0.0,10.808510638297872,0.0,2065.42,0.0,0.0
alabama,270.1764705882353,2.452941176470588,52.05555555555556,0.6386666666666667,36.75,0.0,0.0,0.0,0.283,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,2.838235294117647,2.3287878787878786,0.0,25.647058823529413,0.0,409.1666666666667,0.0,0.0
alaska,5108.796610169492,13.26206896551724,84.51219512195122,5.4125000000000005,33.05,1.4273684210526316,1.5533333333333335,0.07265909090909092,0.39987179487179486,2.6283249999999994,0.1902857142857143,28.857142857142858,10.257894736842106,1.2086666666666666,198.02380952380952,2.318888888888889,65.0625,0.33561111111111114,0.28331578947368424,281.75,205.25,14.686200000000001,3.6511016129032243,0.0,134.0,0.0,200.1904761904762,0.0,0.0
alcoholic,3.296875,1.0526315789473684,6.902439024390244,0.11951219512195116,0.021739130434782608,0.00490909090909091,0.04000000000000001,0.01023684210526316,0.023421052631578954,0.22447368421052624,0.02578947368421054,3.336283185840708,0.00808823529411765,0.037291666666666674,14.55,0.06951219512195118,0.37837837837837823,0.016707317073170736,0.06599999999999999,46.390243902439025,6.134615384615385,0.26960000000000006,0.08005797101449277,0.0,1.225,0.0,26.0,0.0,0.0
almond,89.76451612903226,2.1612244897959183,170.0,3.628,2.254233333333333,6.741445783132528,3.0822222222222213,0.1713617021276596,0.5636468085106383,2.910263829787233,0.20199999999999999,49.88805970149254,0.3563720930232558,0.2658125,244.70416666666665,1.8083404255319153,4.033333333333334,0.5207723404255319,1.0263749999999998,385.32916666666665,31.98780487804878,10.609899999999998,9.545568750000003,0.0,4.959183673469388,0.0,127.33200000000001,0.0,0.0
amaretto,221.82142857142858,1.8037037037037036,70.8936170212766,0.7482978723404256,2.7777777777777777,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.04,0.4,0.08,0.0,170.7391304347826,0.0,4.1116,3.2468571428571424,0.0,19.510204081632654,0.0,108.46,0.0,0.0
anchovy,12.970588235294118,0.803125,326.2173913043478,3.1276595744680855,19.566666666666666,1.32,7.279999999999999,0.07225000000000001,0.33625,18.424999999999997,0.188,12.0,0.4075,0.777,232.5,2.26,60.199999999999996,0.307,0.085,255.66666666666666,85.0,23.34880000000001,1.0199999999999998,0.0,3561.3541666666665,0.0,97780.84,0.0,0.0
anise,111.8,1.7555555555555555,43.34375,2.912187500000001,0.0,0.0,0.0,0.34,0.29,3.06,0.65,10.0,0.0,0.797,440.0,5.3,5.0,0.91,2.3,158.0625,0.0,3.9967999999999995,2.023972222222222,0.0,35.92307692307692,0.0,1155.62,0.0,0.0
anniversary,308.0,0.0,46.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,4.615,0.0,65.0,0.0,215.0,0.0,0.0
anthony bourdain,81.23076923076923,0.46153846153846156,33.48275862068966,2.5799999999999996,0.0,0.0,0.0,1.0,0.45499999999999996,7.046315789473684,0.0,209.625,0.0,0.0,446.0,0.0,0.0,0.0,0.0,345.3333333333333,0.0,6.521666666666667,0.62453125,0.0,16.79310344827586,0.0,84.9375,0.0,0.0
aperitif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appetizer,826.7333333333333,9.44,58.69387755102041,1.6101999999999999,285.7142857142857,0.025,0.4,0.277,0.258,1.47,0.285,219.0,0.0,0.0,385.0,3.4,8.3,0.998,0.0,271.09090909090907,0.4,6.237799999999998,1.6158738738738732,0.0,14.96,0.0,577.96,0.0,0.0
apple,42.803030303030305,17.961702127659574,35.21408163265306,1.5517367346938775,0.13818181818181818,0.23769230769230767,3.7699999999999996,0.1012382978723404,0.11898085106382979,1.2346765957446808,0.0857608695652174,16.491,0.14614457831325303,0.15158823529411763,31.554680851063832,0.2746510638297872,2.7162790697674404,0.05734255319148937,0.10252142857142857,126.36734693877551,7.292307692307695,1.3524600000000004,1.320402985074627,0.0,3.577777777777778,0.0,73.98854,0.0,0.0
apple juice,79.73913043478261,37.96818181818181,15.823529411764707,0.335142857142857,0.0,0.053703703703703684,0.3222222222222222,0.01235714285714286,0.01589285714285715,0.1337857142857143,0.03382142857142858,1.7142857142857142,0.0,0.08881818181818182,8.321428571428571,0.03750000000000001,0.1464285714285714,0.031107142857142868,0.08950000000000001,116.23809523809524,2.233333333333333,0.10220000000000003,0.014923076923076917,0.0,0.0,0.0,5.96,0.0,0.0
apricot,652.3417721518987,10.135416666666666,15.229166666666666,0.6817021276595746,0.0014285714285714286,1.053692307692308,2.0031250000000003,0.02808695652173912,0.03454347826086956,0.6005217391304348,0.05632608695652173,4.6231884057971016,0.002435897435897436,0.15917241379310337,21.543478260869566,0.13369565217391305,0.8485714285714291,0.08473333333333333,0.09765217391304346,222.875,3.1741935483870964,1.0198000000000003,1.4981851851851833,0.0,0.10638297872340426,0.0,26.9,0.0,0.0
arizona,17.282608695652176,6.404444444444442,11.083333333333334,0.6077083333333333,0.0,0.052500000000000005,0.0,0.017666666666666667,0.017,0.12,0.025333333333333333,8.333333333333334,0.0,0.283,5.5,0.07,0.1,0.016,0.09,271.0,2.6,2.7362,0.36293,0.0,0.3541666666666667,0.0,268.26,0.0,0.0
artichoke,121.69444444444444,6.013793103448277,68.84,0.7210204081632652,1.9116279069767443,0.22575757575757588,21.56842105263158,0.06278947368421055,0.10457894736842104,1.038736842105263,0.08277777777777777,79.72222222222223,0.014705882352941176,0.25757142857142856,74.61111111111111,0.40944444444444456,1.094444444444444,0.11205555555555557,0.22214285714285717,204.02631578947367,31.41764705882353,4.030399999999998,1.4282032520325196,0.0,13.18,0.0,414.32,0.0,0.0
arugula,2208.1666666666665,14.157142857142865,168.79591836734693,1.3758333333333337,0.0,0.215,136.8181818181818,0.044,0.086,0.305,0.073,96.0909090909091,0.0,0.437,52.0,0.47,0.3,0.076,0.107,362.82758620689657,15.3,3.2031999999999976,0.3072244897959183,0.0,1.3191489361702127,0.0,95.58,0.0,0.0
asian pear,23.828125,14.535416666666668,16.53061224489796,0.42367346938775513,0.013114754098360654,0.1180246913580247,4.957142857142858,0.025458333333333343,0.042520833333333334,0.41543749999999996,0.051583333333333314,10.518518518518519,0.002023809523809524,0.08193333333333334,20.361702127659573,0.19319148936170213,1.5127659574468084,0.10329787234042556,0.1196923076923077,179.46938775510205,7.276190476190474,0.9617999999999999,0.4164084507042253,0.0,1.673913043478261,0.0,44.89795918367347,0.0,0.0
asparagus,270.6938775510204,11.1,30.76,1.2246,0.020833333333333332,0.5771153846153846,42.71071428571429,0.08306896551724136,0.10724137931034486,0.8636206896551722,0.06951724137931034,79.86206896551724,0.01490909090909091,0.16508333333333333,47.793103448275865,0.4806896551724139,2.6666666666666665,0.12093103448275865,0.16916666666666666,180.3170731707317,18.687499999999996,2.6641999999999997,0.44815217391304357,0.0,3.2,0.0,245.08,0.0,0.0
aspen,55.18181818181818,0.19090909090909092,32.36363636363637,1.1011764705882352,0.0,0.0,0.0,0.0,0.10133333333333333,3.2733333333333334,0.238,0.0,1.07,0.0,122.0,3.5428571428571436,10.666666666666666,0.002,0.0,17.0,0.0,9.432105263157895,1.4317241379310344,0.0,24.0,0.0,212.78947368421052,0.0,0.0
atlanta,271.46153846153845,0.45128205128205123,72.88095238095238,1.5507317073170734,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.739999999999999,3.239036144578313,0.0,45.023809523809526,0.0,191.8095238095238,0.0,0.0
australia,0.0,0.42000000000000004,114.2,3.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14857142857143,2.454166666666667,0.0,0.0,0.0,99.42857142857143,0.0,0.0
avocado,149.72413793103448,10.68,23.041666666666668,0.5202083333333333,0.002702702702702703,0.9713636363636364,26.353846153846156,0.08046153846153849,0.11007692307692309,1.639076923076923,0.16830769230769232,53.256410256410255,0.03434782608695652,0.9452499999999999,57.07692307692308,0.5423076923076923,3.7833333333333337,0.13107692307692306,0.0965,231.97142857142856,15.154545454545456,2.8272000000000004,2.9288859649122805,0.0,6.638297872340425,0.0,416.4583333333333,0.0,0.0
back to school,86.96551724137932,1.5999999999999999,87.3,1.8866,1.0034482758620689,0.38367816091954016,5.540909090909093,0.1901086956521739,0.21054347826086953,4.05795652173913,0.2260222222222223,33.16279069767442,0.4775862068965517,0.8390000000000001,196.6304347826087,1.5115217391304352,19.55454545454545,0.1148181818181818,0.26291666666666663,256.78,34.34634146341463,11.7762,3.0522549019607856,0.0,34.54,0.0,385.18,0.0,0.0
backyard bbq,398.15909090909093,7.1818181818181825,28.479166666666668,1.1153191489361702,5.169047619047619,0.22968750000000004,0.8625,0.07737500000000001,0.1716875,6.101062499999999,0.19050000000000003,10.604166666666666,0.19468749999999999,0.2973333333333333,208.1875,1.45875,26.849999999999998,0.0663125,0.009333333333333334,430.9714285714286,54.31250000000001,10.573399999999998,3.301050359712228,0.0,41.354166666666664,0.0,856.4897959183673,0.0,0.0
